,avatar_id,activity,conformity,diversity,taste,reason
95,95,가끔봄,균형형,취향형, Drama enthusiast|  Crime and thriller lover," I tend to enjoy movies with deep, emotional storylines and complex character development.|  I have a preference for movies with suspenseful plots, intriguing mysteries, and intense themes."
96,96,자주봄,균형형,취향형, Classic Romantic Comedies|  Quirky Dramedies," I enjoy movies that blend romance and comedy in a classic and timeless way, such as ""Notting Hill"" and ""When Harry Met Sally...""|  I appreciate films that have a unique blend of drama and comedy with quirky characters and situations, like ""Benny & Joon"" and ""L.A. Story"""
97,97,자주봄,독립형,탐험형, Action and Thriller|  Historical and Biographical," I enjoy movies with intense action sequences and suspenseful plots, such as The Negotiator, Jurassic Park, and True Lies.|  I appreciate movies that delve into historical events or biographical stories, like Braveheart, Saving Private Ryan, and Messenger: The Story of Joan of Arc."
98,98,가끔봄,균형형,취향형, Sci-fi and Action|  Thriller and Adventure," I enjoy movies with futuristic elements, thrilling action sequences, and advanced technology.|  I appreciate movies with suspenseful plots, intense moments, and exciting escapades."
99,99,가끔봄,동조형,탐험형, I enjoy a mix of action-packed and visually stunning films.|  I appreciate thought-provoking and critically acclaimed movies.," I rated movies like Terminator, Star Wars, and The Fifth Element highly, which are known for their thrilling action sequences and impressive visual effects.|  I gave high ratings to films like The Godfather: Part II, Requiem for a Dream, and The Thin Red Line, which are known for their deep storytelling and critical acclaim."
100,100,가끔봄,균형형,탐험형, I enjoy a mix of action-packed and suspenseful movies.|  I have a preference for classic and iconic films.," I have rated movies like Terminator, The (1984), Aliens (1986), and Silence of the Lambs, The (1991) highly, which are known for their intense and thrilling plots.|  I have given high ratings to movies like The Godfather (1972), Rear Window (1954), and Lawrence of Arabia (1962), which are considered timeless masterpieces in the film industry."
101,101,가끔봄,균형형,취향형, I enjoy classic animated films with a touch of fantasy and adventure.|  I have a soft spot for heartwarming family-friendly movies with a mix of comedy and drama.," I have given high ratings to movies like Alice in Wonderland, Beauty and the Beast, and Mulan, which are all animated films with elements of fantasy and adventure.|  Movies like Matilda, Angels in the Outfield, and Parent Trap have received high ratings from me, showcasing my love for family-friendly films with a blend of comedy and drama."
102,102,자주봄,독립형,취향형, Sci-Fi and Action Lover|  Horror and Thriller Enthusiast," I enjoy movies with futuristic elements, space exploration, and thrilling action sequences.|  I have a fondness for movies that keep me on the edge of my seat with suspenseful plots and terrifying moments."
103,103,자주봄,동조형,탐험형, Classic and Timeless|  Eclectic and Quirky," I enjoy movies that have stood the test of time and continue to be beloved by audiences of all ages.|  I appreciate a wide range of genres, from offbeat comedies to heartfelt dramas, as long as the storytelling is unique and engaging."
104,104,가끔봄,동조형,취향형, I have a preference for horror and thriller movies.|  I also appreciate drama and psychological thriller movies.," I enjoy movies like Nightmare on Elm Street, Halloween, and The Exorcist, which are all classic horror films that I rated highly.|  Movies like American Beauty, Taxi Driver, and The Godfather: Part II are some of my favorites, showing my interest in thought-provoking and intense storylines."
105,105,가끔봄,동조형,탐험형, I have a preference for classic and iconic films.|  I have a liking for a mix of action and drama genres.," I enjoy movies like Casablanca, The Godfather: Part II, and Rear Window, which are considered timeless classics in the film industry.|  I appreciate movies like Terminator 2: Judgment Day, Lethal Weapon, and American History X, which offer a blend of intense action sequences and compelling storytelling."
106,106,자주봄,균형형,탐험형, Classic Comedy and Drama|  Quirky and Offbeat," I enjoy a mix of classic comedies like ""Airplane!"" and ""The Princess Bride"" along with classic dramas like ""Gandhi"" and ""Driving Miss Daisy.""|  I appreciate quirky and offbeat films such as ""Raising Arizona,"" ""A Fish Called Wanda,"" and ""The Full Monty."""
107,107,자주봄,균형형,균형형, I have a preference for classic and iconic films.|  I have a liking for suspenseful and thrilling movies.," I enjoy movies like Psycho, Chinatown, and The Godfather: Part II, which are considered classics in the film industry.|  I am drawn to films like Seven, Silence of the Lambs, and The Sixth Sense, which keep me on the edge of my seat with their suspenseful plots."
108,108,가끔봄,독립형,균형형, Classic Film Enthusiast|  Thrilling Drama Fan," I enjoy movies with a timeless quality and appreciate the storytelling and craftsmanship of older films like Key Largo (1948) and Sunset Blvd. (1950).|  I am drawn to movies with suspenseful plots and complex characters, such as Chinatown (1974) and Total Recall (1990)."
109,109,가끔봄,균형형,탐험형, Thriller and Crime|  Comedy and Drama," I enjoy movies with suspenseful plots and intriguing mysteries, such as Seven, Silence of the Lambs, and Shawshank Redemption.|  I appreciate films that blend humor with heartfelt moments, like Big Lebowski, Groundhog Day, and Meet the Parents."
110,110,가끔봄,동조형,탐험형, I have a preference for classic and iconic films.|  I appreciate a mix of suspenseful thrillers and thought-provoking dramas.," I enjoy movies like The Godfather: Part II, Star Trek: The Wrath of Khan, and Raiders of the Lost Ark, which are considered classics in the film industry.|  I tend to enjoy movies like Silence of the Lambs, The Sixth Sense, and American Beauty, which keep me on the edge of my seat with their suspenseful plots and deep character development."
111,111,가끔봄,동조형,탐험형, Classic and Timeless|  Action-packed and Thrilling, I enjoy movies that have stood the test of time and continue to be beloved by audiences of all ages.|  I have a soft spot for movies that keep me on the edge of my seat with their exciting plots and adrenaline-pumping sequences.
112,112,자주봄,균형형,탐험형, Action-packed|  Fantasy and Adventure," I enjoy movies with intense action sequences and thrilling plotlines, such as ""Die Hard: With a Vengeance,"" ""Speed,"" and ""Terminator 2: Judgment Day.""|  I have a soft spot for movies that transport me to magical worlds and epic adventures, like ""Lord of the Rings,"" ""Star Wars,"" and ""Indiana Jones."""
113,113,자주봄,균형형,균형형, Action-packed|  Heartwarming," I enjoy movies with intense action sequences and thrilling plotlines, such as Mission: Impossible 2, Die Hard 2, and Terminator 2: Judgment Day.|  I appreciate movies that evoke strong emotions and have touching storylines, like Life Is Beautiful, Schindler's List, and Toy Story."
114,114,자주봄,동조형,취향형, I enjoy a mix of drama and romance films.|  I have a preference for suspenseful thrillers and crime dramas.," I have rated movies like ""The Crying Game,"" ""The Truth About Cats & Dogs,"" and ""Sense and Sensibility"" highly, which are known for their emotional and romantic storylines.|  Movies like ""The Usual Suspects,"" ""L.A. Confidential,"" and ""Fargo"" are among my top-rated films, showcasing my love for intricate plots and suspenseful storytelling."
115,115,가끔봄,동조형,취향형, Sci-Fi and Fantasy Lover|  Comedy Enthusiast, I enjoy movies like Star Wars: Episode VI - Return of the Jedi and Army of Darkness that transport me to imaginative worlds filled with adventure and magic.|  I appreciate movies like Airplane! and Animal House that never fail to make me laugh with their clever humor and hilarious situations.
116,116,많이봄,동조형,균형형, Sci-Fi and Action|  Comedy and Drama," I enjoy movies with futuristic elements, space exploration, and thrilling action sequences.|  I appreciate movies that make me laugh and also tug at my heartstrings with emotional storytelling."
117,117,가끔봄,균형형,균형형, Sci-Fi Enthusiast|  Action-Adventure Fan," I have consistently rated movies with futuristic and extraterrestrial themes such as Stargate, Titan A.E., and Independence Day highly.|  I enjoy movies with intense action sequences and thrilling storylines, as seen in films like Mad Max, Predator, and Face/Off."
118,118,가끔봄,균형형,취향형, Classic and Timeless|  Quirky and Offbeat," I enjoy movies like Butch Cassidy and the Sundance Kid, The African Queen, and Manhattan that have stood the test of time and continue to be beloved by audiences.|  I have a fondness for unique and unconventional films like Clerks, Dogma, and Best in Show that offer a fresh perspective and unconventional storytelling."
119,119,가끔봄,균형형,취향형, Action-packed and thrilling|  Dark and suspenseful," I enjoy movies with intense action sequences and exciting plotlines, such as Robocop, Highlander: Endgame, and Army of Darkness.|  I have a preference for movies with a darker tone and suspenseful atmosphere, evident in films like American Psycho and Frequency."
120,120,자주봄,동조형,탐험형, Classic Film Enthusiast|  Cult Movie Lover," I enjoy highly acclaimed and iconic films such as The Godfather, Star Wars, and Fantasia.|  I appreciate unique and offbeat films like Twelve Monkeys, Reservoir Dogs, and Monty Python and the Holy Grail."
121,121,가끔봄,독립형,균형형, I have a preference for a mix of drama and comedy films.|  I appreciate a blend of classic and contemporary cinema., I enjoy movies that can make me laugh but also touch on deeper emotional themes.|  I like to explore a variety of storytelling styles and time periods in film.
122,122,가끔봄,동조형,균형형, I enjoy a mix of comedy and drama.|  I appreciate movies with historical and emotional depth.," I have given high ratings to movies like Monty Python and the Holy Grail, Raising Arizona, and Mr. Holland's Opus, which cover both comedic and dramatic elements.|  Movies like Schindler's List and Forrest Gump, which I rated highly, delve into historical events and evoke strong emotional responses, showcasing my preference for such themes."
123,123,자주봄,균형형,취향형, Romantic Comedy Enthusiast|  Classic Romance Admirer," I enjoy movies like ""Notting Hill,"" ""Pretty Woman,"" and ""Shakespeare in Love"" that blend romance with humor in a light-hearted way.|  I appreciate timeless love stories like ""West Side Story,"" ""The Quiet Man,"" and ""The African Queen"" that have stood the test of time."
124,124,가끔봄,동조형,취향형, I enjoy a mix of comedy and adventure films.|  I appreciate coming-of-age and romantic comedies.," I have rated movies like Spaceballs, Weird Science, and Raiders of the Lost Ark highly, which are known for their comedic elements and adventurous storylines.|  Movies like Stand by Me, Say Anything..., and When Harry Met Sally... are among my favorites, showcasing themes of love, friendship, and personal growth."
125,125,가끔봄,독립형,탐험형, Action-packed and Thrilling|  Dark and Thought-Provoking," I enjoy movies like Saving Private Ryan, The Mummy, and Way of the Gun that are filled with intense action sequences and keep me on the edge of my seat.|  I appreciate movies such as American History X, Seven Years in Tibet, and American History X that delve into deep and complex themes, leaving a lasting impact on me."
126,126,가끔봄,동조형,취향형, Sci-Fi and Action|  Mystery and Thriller, I enjoy movies with futuristic elements and thrilling action sequences.|  I like movies that keep me on the edge of my seat with unexpected twists and suspenseful plots.
127,127,가끔봄,균형형,탐험형, Action-packed and thrilling|  Animated and whimsical," I enjoy movies with intense action sequences and suspenseful plots, such as The Matrix, Rush Hour, and Face/Off.|  I have a soft spot for animated films with imaginative storytelling and colorful visuals, like Toy Story, James and the Giant Peach, and The Lion King."
128,128,가끔봄,동조형,탐험형, Action and Adventure|  Classic and Timeless," I enjoy movies with thrilling action sequences and exciting adventures, such as Lethal Weapon 4, Indiana Jones and the Temple of Doom, and Jurassic Park.|  I appreciate classic movies with enduring appeal, like Casablanca, Lawrence of Arabia, and The Wizard of Oz."
129,129,자주봄,동조형,균형형, Sci-Fi and Action|  Dark Comedy and Drama," I enjoy movies with futuristic elements, thrilling action sequences, and advanced technology.|  I appreciate movies that blend dark humor with thought-provoking drama, exploring complex themes and human nature."
130,130,가끔봄,균형형,취향형, I enjoy a mix of drama and comedy.|  I have a preference for character-driven films.," I appreciate movies like American Beauty and Terms of Endearment for their dramatic elements, while also enjoying the humor in films like Ferris Bueller's Day Off and Raising Arizona.|  I tend to gravitate towards movies like Bull Durham and Godfather: Part II, where the focus is on the development and interactions of the characters rather than just the plot."
131,131,가끔봄,균형형,취향형, I enjoy a mix of drama and comedy.|  I have a preference for character-driven films.," I appreciate movies like ""The Big Chill"" and ""Forrest Gump"" for their emotional depth, as well as comedies like ""Ace Ventura: Pet Detective"" and ""The Full Monty"" for their humor.|  I tend to gravitate towards movies like ""Good Will Hunting"" and ""Rain Man"" that focus on complex characters and their personal journeys."
132,132,많이봄,독립형,탐험형, Classic and Timeless|  Adventure and Fantasy," I enjoy a wide range of movies from different eras, appreciating the enduring appeal of classic films.|  I am drawn to movies that transport me to imaginative worlds and thrilling adventures, sparking my sense of wonder and excitement."
133,133,가끔봄,동조형,균형형, Action and Sci-Fi Lover|  Fantasy and Adventure Enthusiast," I enjoy high-octane action movies like Lethal Weapon, Terminator 2, and Mad Max 2, as well as sci-fi classics such as Star Wars and X-Men.|  I have a soft spot for fantasy and adventure films like Wizard of Oz, Highlander, and Gladiator, which transport me to exciting and magical worlds."
134,134,가끔봄,독립형,탐험형, Classic Film Enthusiast|  Quirky and Unique Cinema Lover," I have a strong appreciation for timeless movies like Fargo, Godfather: Part II, and Citizen Kane.|  I enjoy movies with unconventional storytelling and creative elements, as seen in Almost Famous, Wrong Trousers, and Rushmore."
135,135,자주봄,독립형,탐험형, Action-packed|  Comedy lover," I enjoy movies with intense action sequences and thrilling plotlines, such as Braveheart, Batman, and Mission: Impossible.|  I have a soft spot for comedies that make me laugh out loud, like What About Bob?, Mrs. Doubtfire, and Billy Madison."
136,136,자주봄,균형형,탐험형, I enjoy a mix of classic and modern films.|  I have a preference for a variety of genres.," I have rated movies from different decades, showing my appreciation for both older and newer films.|  My rating history includes movies from genres such as comedy, drama, sci-fi, and action, indicating my diverse taste in films."
137,137,자주봄,독립형,취향형, Sci-Fi and Action|  Thriller and Suspense," I enjoy movies with futuristic elements, advanced technology, and intense action sequences.|  I like movies that keep me on the edge of my seat with unexpected plot twists and suspenseful moments."
138,138,가끔봄,동조형,탐험형, Classic Film Enthusiast|  Thriller and Mystery Lover," I enjoy a wide range of classic films spanning different decades, from Gone with the Wind (1939) to Pulp Fiction (1994).|  I have a strong preference for suspenseful and intriguing movies like Silence of the Lambs (1991), The Usual Suspects (1995), and Vertigo (1958)."
139,139,자주봄,균형형,균형형, I have a preference for horror and thriller movies.|  I also appreciate musicals and science fiction movies.," I enjoy the suspense and adrenaline rush that comes with watching these types of films.|  I love the creativity and escapism that musicals and sci-fi films provide, taking me to different worlds and telling unique stories."
140,140,가끔봄,독립형,탐험형, Classic Film Enthusiast|  Eclectic Cinema Lover," I enjoy movies from various decades, appreciating the timeless storytelling and cinematic techniques of classic films like Fantasia (1940) and North by Northwest (1959).|  I have a diverse taste in movies, ranging from the quirky cult classic Repo Man (1984) to the psychological thriller Rosemary's Baby (1968) and the iconic sci-fi adventure Star Wars: Episode IV - A New Hope (1977)."
141,141,가끔봄,균형형,취향형, Classic Comedy|  Adventure Thriller," I enjoy movies like ""Annie Hall"" and ""Sleeper"" which are timeless comedies with witty humor and clever storytelling.|  I love movies like ""North by Northwest"" and ""Butch Cassidy and the Sundance Kid"" that keep me on the edge of my seat with thrilling action and suspenseful plots."
142,142,가끔봄,독립형,취향형, Thrilling and intense|  Dark and thought-provoking," I enjoy movies with suspenseful plots and high-stakes action, like Mission: Impossible 2 and Apocalypse Now.|  I appreciate movies that delve into complex themes and psychological depth, such as Taxi Driver and Rosemary's Baby."
143,143,많이봄,균형형,탐험형," I have a preference for classic and iconic films.|  I appreciate a mix of drama, comedy, and science fiction."," I enjoy movies like Citizen Kane, Casablanca, and Alien, which are considered timeless classics in the film industry.|  I enjoy a wide range of movies like Groundhog Day, Ghostbusters, and Blade Runner, which offer a blend of different genres that keep me entertained."
144,144,가끔봄,독립형,탐험형, Action and Adventure|  Animated and Family-Friendly," I enjoy movies with intense action sequences and thrilling adventures, such as Die Hard, Gladiator, and Mad Max 2.|  I have a soft spot for animated movies and family-friendly films like The Little Mermaid, Toy Story 2, and All Dogs Go to Heaven."
145,145,가끔봄,균형형,균형형, Action-packed|  Mystery and Suspense," I enjoy movies with high-energy sequences, thrilling stunts, and intense plotlines, such as Die Hard, Speed, and Lethal Weapon 4.|  I am drawn to movies that keep me on the edge of my seat with unexpected twists and turns, like What Lies Beneath, The Sixth Sense, and Kiss the Girls."
146,146,가끔봄,균형형,취향형, Action-packed and adventurous|  Classic and timeless," I enjoy movies with thrilling action sequences and exciting plotlines, such as X-Men, Mission: Impossible, and Raiders of the Lost Ark.|  I appreciate movies with enduring appeal and iconic status, like Star Wars: Episode V - The Empire Strikes Back, Bridge on the River Kwai, and North by Northwest."
147,147,가끔봄,균형형,탐험형, Classic and Timeless|  Diverse and Engaging, I enjoy movies that have stood the test of time and continue to be beloved by audiences.|  I appreciate a wide range of genres and storytelling styles that keep me entertained and engaged.
148,148,자주봄,동조형,탐험형, Action and Adventure|  Comedy and Drama," I enjoy movies with thrilling action sequences and adventurous storylines, such as Gladiator, Indiana Jones and the Last Crusade, and Terminator 2: Judgment Day.|  I appreciate movies that blend humor with heartfelt drama, like Who Framed Roger Rabbit?, Groundhog Day, and Forrest Gump."
149,149,많이봄,균형형,탐험형, I have a preference for classic and iconic films.|  I am drawn to a mix of drama and suspense genres.," I enjoy movies like Casablanca, The Godfather, and Singin' in the Rain, which are considered timeless classics in the film industry.|  I appreciate movies like Silence of the Lambs, Primal Fear, and The Usual Suspects, which keep me on the edge of my seat with their intense storytelling and plot twists."
150,150,가끔봄,균형형,취향형, Quirky and offbeat|  Romantic and feel-good," I enjoy movies with unique and eccentric characters, unconventional storylines, and quirky humor.|  I appreciate movies with heartwarming relationships, charming romances, and uplifting themes."
151,151,가끔봄,균형형,탐험형, Animated Adventure|  Classic Comedy," I enjoy movies like The Road to El Dorado, The Prince of Egypt, and The Iron Giant that combine animation with thrilling adventures.|  I have a soft spot for timeless comedies like Monty Python's Life of Brian, Singin' in the Rain, and Austin Powers: The Spy Who Shagged Me that never fail to make me laugh."
152,152,가끔봄,균형형,취향형, I enjoy a mix of drama and comedy movies.|  I have a preference for action and thriller movies.," I have rated movies like Kramer Vs. Kramer, Wedding Singer, and Dumb & Dumber highly, showing my appreciation for both emotional and light-hearted films.|  Movies like Terminator 2: Judgment Day, Speed, and Air Force One have received high ratings from me, indicating my love for fast-paced and suspenseful films."
153,153,자주봄,균형형,탐험형, Action-packed|  Classic Comedy," I enjoy movies with intense action sequences and thrilling plotlines, such as Gladiator, Mad Max 2, and Raiders of the Lost Ark.|  I have a soft spot for timeless comedies like Airplane!, Animal House, and Young Frankenstein that never fail to make me laugh."
154,154,자주봄,균형형,탐험형, Comedy Lover|  Thriller Enthusiast," I enjoy movies like Wedding Singer, BASEketball, and Happy Gilmore which are all comedy films that I rated highly.|  I have given high ratings to movies like Sleepy Hollow, The Negotiator, and The Cell, which are all thrilling and suspenseful films."
155,155,가끔봄,균형형,취향형, I have a preference for emotional and impactful dramas.|  I enjoy classic and iconic films with a mix of drama and adventure.," I tend to rate movies like Dead Man Walking, Schindler's List, and Erin Brockovich highly, which are known for their powerful storytelling and emotional depth.|  Movies like Star Wars: Episode IV - A New Hope, Gone with the Wind, and Rear Window are among my favorites, showcasing a blend of timeless storytelling and thrilling adventures."
156,156,자주봄,독립형,탐험형, Classic Film Enthusiast|  Animation and Family Movie Lover," I have a strong preference for classic films spanning different genres, including drama, comedy, action, and adventure.|  I enjoy animated and family-friendly movies, appreciating the storytelling and creativity in these films."
157,157,자주봄,동조형,균형형, I enjoy a mix of drama and historical films.|  I have a preference for character-driven and emotionally impactful movies.," I have given high ratings to movies like ""Braveheart"", ""Schindler's List"", and ""Lawrence of Arabia"" which are known for their dramatic and historical themes.|  Films like ""Forrest Gump"", ""The Shawshank Redemption"", and ""Good Will Hunting"" have resonated with me due to their strong character development and emotional depth."
158,158,자주봄,균형형,탐험형, I have a preference for classic and iconic films.|  I lean towards a mix of action and drama genres.," I enjoy movies like Star Wars, Indiana Jones, and Ben-Hur, which are considered timeless classics in the film industry.|  I appreciate movies like Terminator 2, Lethal Weapon, and The Fugitive, which blend intense action sequences with compelling dramatic storytelling."
159,159,자주봄,독립형,탐험형, I have a preference for classic adventure and action films.|  I appreciate heartwarming and nostalgic dramas.," I enjoy movies like Raiders of the Lost Ark, Patriot Games, and The Fugitive, which are filled with thrilling action sequences and suspenseful plots.|  I am drawn to movies like Forrest Gump, Stand by Me, and Cinema Paradiso, which evoke strong emotions and tell poignant stories about life and relationships."
160,160,많이봄,균형형,균형형, I have a preference for action-packed and thrilling movies.|  I appreciate thought-provoking and intellectually stimulating films.," I enjoy movies like Mad Max Beyond Thunderdome, Jurassic Park, and Gladiator that keep me on the edge of my seat with their intense and exciting storylines.|  I am drawn to movies like The Seventh Seal, Blade Runner, and Being John Malkovich that challenge my mind and offer deep philosophical themes for contemplation."
161,161,가끔봄,동조형,균형형, Sci-Fi and Fantasy Enthusiast|  Comedy Lover," I enjoy movies like Star Wars: Episode IV - A New Hope and Galaxy Quest that take me on exciting adventures in outer space with futuristic elements.|  I appreciate comedies like Kingpin, Weird Science, Meet the Parents, and Austin Powers: The Spy Who Shagged Me that never fail to make me laugh with their humor and quirky characters."
162,162,자주봄,독립형,탐험형, Classic Action and Adventure|  Psychological Thrillers and Animated Films," I enjoy movies with thrilling action sequences and adventurous storylines, such as Goldfinger, Star Wars: Episode V - The Empire Strikes Back, and Saving Private Ryan.|  I have a fondness for movies that delve into the complexities of the human mind like Perfect Blue and Psycho, as well as animated films like Bambi and Princess Mononoke."
163,163,가끔봄,균형형,취향형, Classic Romantic Comedies|  Adventure and Action," I enjoy movies like Breakfast at Tiffany's, Sabrina, and When Harry Met Sally... that combine romance and comedy in a classic setting.|  I love movies like Raiders of the Lost Ark and Star Wars: Episode VI - Return of the Jedi that are filled with thrilling adventures and action-packed scenes."
164,164,가끔봄,균형형,취향형, Romantic Comedy Enthusiast|  Classic Romance Admirer," I enjoy movies that blend romance and comedy seamlessly, such as My Best Friend's Wedding and Sleepless in Seattle.|  I appreciate timeless love stories like Breakfast at Tiffany's and The Shop Around the Corner."
165,165,가끔봄,균형형,취향형, I have a preference for drama and emotional films.|  I enjoy a mix of drama and fantasy genres.," I tend to rate movies like Dancer in the Dark, Schindler's List, and Life Is Beautiful highly, which are known for their intense emotional storytelling.|  Movies like The Matrix, Princess Mononoke, and What Dreams May Come showcase my interest in both imaginative worlds and deep emotional narratives."
166,166,많이봄,균형형,탐험형, Action and Adventure|  Animated and Family-Friendly," I enjoy movies with thrilling action sequences and adventurous storylines, such as Star Wars, Indiana Jones, and Die Hard.|  I have a soft spot for animated movies that are suitable for the whole family, like Toy Story, The Lion King, and Winnie the Pooh."
167,167,많이봄,균형형,균형형, I have a preference for classic horror and science fiction movies.|  I also appreciate a mix of classic and modern action-adventure films.," I enjoy movies like ""Alien"", ""The Invisible Man"", and ""Jurassic Park"" which are iconic in the horror and sci-fi genres.|  Movies like ""Terminator 2: Judgment Day"", ""Raiders of the Lost Ark"", and ""Speed"" showcase my love for thrilling action sequences and adventurous plots."
168,168,가끔봄,독립형,탐험형, Classic Film Enthusiast|  Quirky Comedy Lover," I have a strong appreciation for timeless classics such as ""Casablanca,"" ""Vertigo,"" and ""The Maltese Falcon.""|  I enjoy offbeat comedies like ""The Big Lebowski,"" ""Being John Malkovich,"" and ""Napoleon Dynamite."""
169,169,가끔봄,균형형,취향형, Classic Film Enthusiast|  Thrilling Drama Fan," I enjoy watching timeless classics such as Double Indemnity, Notorious, and Maltese Falcon.|  I have a preference for intense and gripping movies like Chinatown, Blade Runner, and Gladiator."
170,170,자주봄,균형형,취향형, Action-packed|  Sci-fi and Adventure," I enjoy movies with intense action sequences and thrilling plotlines, such as Die Hard: With a Vengeance and Lethal Weapon 3.|  I have a soft spot for movies that transport me to futuristic worlds or on exciting adventures, like Star Trek: Generations and Indiana Jones and the Last Crusade."
171,171,자주봄,균형형,탐험형, Action-packed|  Dark and suspenseful," I enjoy movies with intense action sequences and thrilling plotlines, such as Rambo: First Blood Part II, Dirty Dozen, and High Plains Drifter.|  I am drawn to movies with a darker tone and suspenseful atmosphere, like Rosemary's Baby, Near Dark, and The Fly."
172,172,자주봄,균형형,균형형, Drama enthusiast|  Thriller and suspense lover," I have consistently rated a variety of drama films, ranging from intense psychological dramas like ""Who's Afraid of Virginia Woolf?"" to historical dramas like ""Schindler's List"" and ""To Kill a Mockingbird"".|  I enjoy movies that keep me on the edge of my seat, such as ""Deliverance"", ""Seven Beauties"", and ""The Sixth Sense""."
173,173,자주봄,동조형,탐험형, I have a preference for classic and iconic films.|  I lean towards a mix of drama and adventure genres.," I enjoy movies like The Godfather: Part II, Star Wars: Episode IV - A New Hope, and Jaws which are considered timeless classics in the film industry.|  I appreciate movies like Stand by Me, Dead Poets Society, and Adventures of Buckaroo Bonzai Across the 8th Dimension which offer a blend of emotional depth and thrilling storytelling."
174,174,가끔봄,동조형,취향형, Classic and Timeless|  Dark and Intense," I enjoy movies like Breakfast at Tiffany's and GoodFellas that have stood the test of time and are considered classics in the film industry.|  I am drawn to movies like Saving Private Ryan and Fargo that delve into complex and intense themes, keeping me engaged throughout the storyline."
175,175,가끔봄,독립형,탐험형, I enjoy a mix of action-packed and suspenseful movies.|  I have a soft spot for classic and heartwarming movies.," I have rated movies like Terminator 2: Judgment Day, Speed, and The Matrix highly, showing my preference for thrilling and intense films.|  I have given high ratings to movies like Forrest Gump, Mary Poppins, and It's a Wonderful Life, indicating my appreciation for timeless and emotionally touching films."
176,176,많이봄,동조형,탐험형, Action-packed|  Classic Thrillers," I enjoy movies with intense action sequences and thrilling plotlines, such as ""Speed,"" ""Die Hard 2,"" and ""Lethal Weapon 2.""|  I have a fondness for suspenseful and well-crafted thrillers like ""Rear Window,"" ""The Conversation,"" and ""Touch of Evil."""
177,177,가끔봄,독립형,탐험형, Classic Film Enthusiast|  Adventure and Comedy Lover," I enjoy watching timeless movies from different eras, appreciating the storytelling and cinematic techniques used in these films.|  I have a soft spot for movies that combine elements of adventure and comedy, providing me with both excitement and laughter in one package."
178,178,자주봄,균형형,균형형, Romantic Drama|  Classic Musical," I enjoy movies that have a mix of romance and drama, such as Titanic, Dirty Dancing, and Ghost.|  I have a soft spot for classic musicals like Guys and Dolls, Sound of Music, and Casablanca."
179,179,가끔봄,동조형,탐험형, Classic and Cult Favorites|  Quirky and Offbeat Comedies," I enjoy highly acclaimed and iconic films like ""Chinatown,"" ""Taxi Driver,"" and ""Schindler's List.""|  I have a soft spot for unique and unconventional comedies such as ""Best in Show,"" ""Airplane!,"" and ""Being There."""
180,180,많이봄,독립형,취향형, I have a preference for intense and gritty dramas.|  I appreciate thought-provoking and artistic films.," I enjoy movies like ""Romper Stomper"", ""Menace II Society"", and ""GoodFellas"" that delve into complex characters and dark themes.|  Movies such as ""Ghost in the Shell"", ""Heavenly Creatures"", and ""Eternity and a Day"" captivate me with their unique storytelling and visual style."
181,181,가끔봄,균형형,균형형, Thriller and Suspense|  Action and Adventure," I enjoy movies like Cape Fear, Copycat, and Silence of the Lambs that keep me on the edge of my seat with their intense and suspenseful plots.|  I love movies like Saving Private Ryan, Men in Black, and The Thin Red Line that are filled with thrilling action sequences and adventurous storylines."
182,182,가끔봄,균형형,취향형, I enjoy a mix of comedy and drama.|  I have a preference for mystery and suspense.," I have rated movies like ""There's Something About Mary"" and ""American Beauty"" which blend humor with deeper emotional themes.|  Movies like ""The Usual Suspects"" and ""The Sixth Sense"" captivate me with their intriguing plot twists and suspenseful storytelling."
183,183,가끔봄,균형형,취향형, Action and Adventure|  Drama and Romance," I enjoy movies with thrilling action sequences and adventurous storylines, such as Terminator 2, Indiana Jones series, and Escape from New York.|  I appreciate movies with emotional depth and romantic elements, like The Shawshank Redemption, Bridges of Madison County, and Sense and Sensibility."
184,184,가끔봄,동조형,탐험형, Classic Film Enthusiast|  Eclectic Cinema Lover," I have a strong preference for classic films from the 1930s to the 1970s, enjoying timeless movies such as ""Citizen Kane,"" ""Gone with the Wind,"" and ""The Godfather.""|  I appreciate a wide range of genres and styles, from classic dramas like ""Schindler's List"" to animated films like ""Toy Story 2"" and even quirky comedies like ""Edward Scissorhands."""
185,185,가끔봄,균형형,취향형, Classic Drama Enthusiast|  Historical Drama Admirer," I enjoy movies with deep emotional storylines and strong character development, which is evident in films like ""Schindler's List"" and ""To Kill a Mockingbird"".|  I appreciate movies that are set in historical periods and provide a glimpse into different eras, as seen in films like ""Casablanca"" and ""The Last of the Mohicans""."
186,186,많이봄,독립형,균형형, Quirky and Offbeat|  Dark Comedy," I enjoy movies that have unconventional storylines and unique characters, such as The Rocky Horror Picture Show, Fear and Loathing in Las Vegas, and The Nightmare Before Christmas.|  I appreciate movies that blend humor with darker themes, like American Psycho, Bullets Over Broadway, and Very Bad Things."
187,187,가끔봄,균형형,취향형, Thriller and Mystery Enthusiast|  Drama and Character Study Lover," I enjoy movies like Silence of the Lambs, The Sixth Sense, and Eyes Wide Shut that keep me on the edge of my seat with their suspenseful plots and unexpected twists.|  I appreciate films such as American Beauty, Gods and Monsters, and Angela's Ashes that delve deep into complex characters' emotions and relationships, providing a thought-provoking and emotional viewing experience."
