policy,rerank,avatar_id,taste,activity,conformity,diversity,page,recommended,watched,rating,feeling,ground_truth
MF,Pop,246, Animation Enthusiast|  Classic Film Lover,자주봄,균형형,탐험형,4,"['Godfather: Part II, The (1974)', 'Groundhog Day (1993)', 'Men in Black (1997)', 'Saving Private Ryan (1998)']","['The Godfather: Part II, The (1974)', 'Saving Private Ryan (1998)']","[5, 5]","['A masterful exploration of family and power that left me deeply moved.', 'An intense and gripping portrayal of sacrifice and bravery that resonated profoundly with me.']","['Men in Black (1997)', 'Saving Private Ryan (1998)']"
MF,Pop,247," I have a preference for a mix of action, thriller, and science fiction movies.|  I also appreciate dark and thought-provoking dramas.",자주봄,독립형,탐험형,1,"['Jurassic Park (1993)', 'Blade Runner (1982)', 'Terminator 2: Judgment Day (1991)', 'Fargo (1996)']","['Jurassic Park', 'Blade Runner', 'Terminator 2: Judgment Day']","[5, 4, 5]","['A thrilling adventure that left me in awe of its creativity.', 'A visually captivating experience that provoked deep thoughts about humanity.', 'An exhilarating ride that perfectly blended action with emotional depth.']","['Jurassic Park (1993)', 'Blade Runner (1982)', 'Terminator 2: Judgment Day (1991)']"
MF,Pop,247," I have a preference for a mix of action, thriller, and science fiction movies.|  I also appreciate dark and thought-provoking dramas.",자주봄,독립형,탐험형,2,"['Godfather, The (1972)', 'Aliens (1986)', 'Raiders of the Lost Ark (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Aliens', 'Raiders of the Lost Ark', 'Star Wars: Episode VI - Return of the Jedi']","[5, 5, 4]","['I was thrilled by the intense action and strong female lead, making it an unforgettable experience.', 'The adventurous spirit and engaging storyline captivated me from start to finish.', 'The epic battles and character arcs were enjoyable, though I felt some parts were a bit predictable.']","['Raiders of the Lost Ark (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)']"
MF,Pop,247," I have a preference for a mix of action, thriller, and science fiction movies.|  I also appreciate dark and thought-provoking dramas.",자주봄,독립형,탐험형,3,"['Alien (1979)', 'Star Trek IV: The Voyage Home (1986)', 'Jaws (1975)', 'Face/Off (1997)']","['Alien (1979)', 'Jaws (1975)']","[5, 4]","['The intense atmosphere and strong female lead left me captivated throughout.', 'The suspenseful storytelling and classic horror elements made for an exhilarating experience.']","['Star Trek IV: The Voyage Home (1986)', 'Jaws (1975)']"
MF,Pop,247," I have a preference for a mix of action, thriller, and science fiction movies.|  I also appreciate dark and thought-provoking dramas.",자주봄,독립형,탐험형,4,"['Starship Troopers (1997)', 'X-Files: Fight the Future, The (1998)', 'Rocky (1976)', 'Saving Private Ryan (1998)']","['Starship Troopers (1997)', 'X-Files: Fight the Future, The (1998)']","[4, 5]","['I found it to be an exciting and engaging watch with plenty of action.', 'The thrilling plot and suspense kept me on the edge of my seat, making it a standout experience.']","['Starship Troopers (1997)', 'Rocky (1976)']"
MF,Pop,248, I enjoy a mix of classic and modern films with a focus on adventure and fantasy.|  I have a preference for thought-provoking and intense dramas with a touch of science fiction.,많이봄,독립형,탐험형,1,"['Braveheart (1995)', ""Schindler's List (1993)"", 'Godfather, The (1972)', 'Rear Window (1954)']","[""Schindler's List"", 'Godfather, The', 'Rear Window']","[5, 5, 4]","['A deeply moving and impactful experience that left me reflecting on humanity.', 'A masterful portrayal of power and family that captivated me from start to finish.', 'An intriguing and suspenseful film that kept me on the edge of my seat, though I wished for a bit more depth in the ending.']",['Rear Window (1954)']
MF,Pop,248, I enjoy a mix of classic and modern films with a focus on adventure and fantasy.|  I have a preference for thought-provoking and intense dramas with a touch of science fiction.,많이봄,독립형,탐험형,2,"['North by Northwest (1959)', 'Princess Bride, The (1987)', 'Annie Hall (1977)', 'Godfather: Part II, The (1974)']","['North by Northwest', 'Princess Bride, The', 'Annie Hall', 'Godfather: Part II, The']","[5, 5, 4, 5]","['I was captivated by the suspense and clever twists throughout the film.', 'The blend of humor and adventure made it an unforgettable experience.', 'It offered insightful reflections on love, though some moments felt a bit dated.', 'A masterful continuation of the saga that deepened my appreciation for the characters and their struggles.']","['Princess Bride, The (1987)', 'Annie Hall (1977)']"
MF,Pop,248, I enjoy a mix of classic and modern films with a focus on adventure and fantasy.|  I have a preference for thought-provoking and intense dramas with a touch of science fiction.,많이봄,독립형,탐험형,3,"['Terminator, The (1984)', 'Groundhog Day (1993)', 'Butch Cassidy and the Sundance Kid (1969)', 'Good Will Hunting (1997)']","['Terminator, The', 'Groundhog Day', 'Good Will Hunting']","[5, 4, 5]","[""I was captivated by the intense storyline and the exploration of technology's impact on humanity."", 'I enjoyed the clever premise and the heartfelt message about life and love.', 'The performances were outstanding, and the character development resonated deeply with me.']","['Terminator, The (1984)', 'Groundhog Day (1993)', 'Butch Cassidy and the Sundance Kid (1969)']"
MF,Pop,248, I enjoy a mix of classic and modern films with a focus on adventure and fantasy.|  I have a preference for thought-provoking and intense dramas with a touch of science fiction.,많이봄,독립형,탐험형,4,"['Rain Man (1988)', 'Saving Private Ryan (1998)', 'Shakespeare in Love (1998)', 'Austin Powers: The Spy Who Shagged Me (1999)']","['Rain Man (1988)', 'Saving Private Ryan (1998)', 'Shakespeare in Love (1998)']","[5, 5, 4]","['The emotional depth and performances left a lasting impression on me.', 'The intense storytelling and realism made it an unforgettable viewing experience.', 'The clever writing and performances were delightful, though I wished for a bit more depth in some areas.']","['Rain Man (1988)', 'Shakespeare in Love (1998)', 'Austin Powers: The Spy Who Shagged Me (1999)']"
MF,Pop,249, Fantasy and Animation Enthusiast|  Quirky and Offbeat Cinema Lover,자주봄,독립형,균형형,1,"['Star Wars: Episode IV - A New Hope (1977)', 'Santa Clause, The (1994)', 'Nutty Professor, The (1996)', 'Escape from New York (1981)']","['Star Wars: Episode IV - A New Hope (1977)', 'Escape from New York (1981)']","[5, 4]","['This movie exceeded my expectations and left me feeling inspired by its epic storytelling.', 'I enjoyed the thrilling atmosphere and unique premise, though it felt a bit dated in some aspects.']",[]
MF,Pop,249, Fantasy and Animation Enthusiast|  Quirky and Offbeat Cinema Lover,자주봄,독립형,균형형,2,"['Princess Bride, The (1987)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Terminator, The (1984)', 'Back to the Future (1985)']","['The Princess Bride', 'Star Wars: Episode VI - Return of the Jedi', 'The Terminator', 'Back to the Future']","[5, 5, 4, 4]","['I found it to be a delightful blend of adventure and humor that left me enchanted.', 'It was an epic conclusion to the trilogy that resonated deeply with my love for the series.', 'It was a gripping and intense experience that kept me on the edge of my seat.', 'I enjoyed the clever plot and nostalgic elements, making it a fun watch.']",[]
MF,Pop,249, Fantasy and Animation Enthusiast|  Quirky and Offbeat Cinema Lover,자주봄,독립형,균형형,3,"['Star Trek: The Wrath of Khan (1982)', 'Star Trek VI: The Undiscovered Country (1991)', 'Fifth Element, The (1997)', 'Hercules (1997)']","['Star Trek: The Wrath of Khan', 'Star Trek VI: The Undiscovered Country', 'Fifth Element, The']","[5, 4, 4]","['I found it thrilling and captivating, a true classic.  ', 'It was suspenseful and engaging, though not as impactful as the first.  ', 'It was imaginative and fun, with a unique take on the sci-fi genre.  ']","['Fifth Element, The (1997)', 'Hercules (1997)']"
MF,Pop,249, Fantasy and Animation Enthusiast|  Quirky and Offbeat Cinema Lover,자주봄,독립형,균형형,4,"['Mulan (1998)', 'Back to the Future Part III (1990)', 'Jungle Book, The (1967)', 'Superman (1978)']","['Mulan (1998)', 'Back to the Future Part III (1990)', 'Jungle Book, The (1967)', 'Superman (1978)']","[5, 4, 5, 4]","['I found it inspiring and entertaining, truly a delightful watch.  ', 'It was enjoyable, though not as impactful as the first two films.  ', 'A timeless classic that brought back fond childhood memories.  ', 'A great superhero origin story, though it felt a bit dated at times.  ']","['Mulan (1998)', 'Jungle Book, The (1967)']"
MF,Pop,250, Action-packed|  Sci-fi and Fantasy,가끔봄,균형형,취향형,1,"['Braveheart (1995)', 'Star Wars: Episode IV - A New Hope (1977)', 'Speed (1994)', 'True Lies (1994)']","['Star Wars: Episode IV - A New Hope', 'Speed', 'True Lies']","[5, 4, 4]","['An exhilarating journey through space that left me wanting more.', 'A thrilling ride that kept my heart racing throughout.', 'A perfect blend of action and humor that entertained me thoroughly.']",['Star Wars: Episode IV - A New Hope (1977)']
MF,Pop,251, I have a preference for intense and suspenseful movies.|  I appreciate thought-provoking and emotionally impactful films.,자주봄,균형형,탐험형,1,"['Leaving Las Vegas (1995)', 'Taxi Driver (1976)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)']","['Pulp Fiction', 'Forrest Gump']","[4, 5]","['I found it thrilling and engaging, with a unique storytelling style that kept me captivated.', ""It was heartwarming and inspiring, leaving me with a sense of nostalgia and appreciation for life's journey.""]",[]
MF,Pop,251, I have a preference for intense and suspenseful movies.|  I appreciate thought-provoking and emotionally impactful films.,자주봄,균형형,탐험형,2,"['Fargo (1996)', 'North by Northwest (1959)', 'Raiders of the Lost Ark (1981)', 'To Kill a Mockingbird (1962)']","['Fargo', 'North by Northwest', 'Raiders of the Lost Ark', 'To Kill a Mockingbird']","[4, 5, 5, 4]","['The blend of crime and dark humor kept me engaged throughout.  ', 'The thrilling twists and turns made it an unforgettable experience.  ', 'The adventure and action were exhilarating and captivating.  ', 'The powerful themes and performances left a lasting impact on me.  ']",[]
MF,Pop,251, I have a preference for intense and suspenseful movies.|  I appreciate thought-provoking and emotionally impactful films.,자주봄,균형형,탐험형,3,"['Right Stuff, The (1983)', 'Killing Fields, The (1984)', 'Men in Black (1997)', 'Full Monty, The (1997)']","['The Right Stuff', 'The Killing Fields', 'The Full Monty']","[5, 4, 4]","['I found it incredibly inspiring and engaging, truly capturing the spirit of exploration.', 'It was a powerful and emotional experience, shedding light on a crucial historical event.', 'It was both hilarious and heartwarming, leaving me with a smile and a sense of hope.']","['Killing Fields, The (1984)']"
MF,Pop,251, I have a preference for intense and suspenseful movies.|  I appreciate thought-provoking and emotionally impactful films.,자주봄,균형형,탐험형,4,"['Boogie Nights (1997)', 'Few Good Men, A (1992)', 'Thin Red Line, The (1998)', 'American Beauty (1999)']","['Few Good Men, A', 'American Beauty']","[5, 4]","['The intense courtroom drama and moral dilemmas left me captivated and deeply engaged.', 'The exploration of midlife crisis and self-discovery was thought-provoking, though some themes felt a bit heavy.']",[]
MF,Pop,252, Thriller/Horror Enthusiast|  Action/Adventure Fan,가끔봄,균형형,균형형,1,"['Braveheart (1995)', 'Jurassic Park (1993)', 'Terminator 2: Judgment Day (1991)', 'Godfather, The (1972)']","['Braveheart', 'Jurassic Park', 'Terminator 2: Judgment Day', 'Godfather, The']","[5, 4, 5, 5]","['An epic journey that left me inspired and moved.  ', 'A thrilling adventure that kept me on the edge of my seat.  ', 'A masterclass in action and storytelling that blew me away.  ', 'A profound and gripping tale of power and loyalty that resonated deeply with me.']",[]
MF,Pop,252, Thriller/Horror Enthusiast|  Action/Adventure Fan,가끔봄,균형형,균형형,2,"['Abyss, The (1989)', 'Godfather: Part II, The (1974)', 'Terminator, The (1984)', 'Back to the Future (1985)']","['Godfather: Part II, The (1974)', 'Terminator, The (1984)']","[5, 5]","['A masterful exploration of family and power that left a lasting impression.', 'An exhilarating thrill ride that perfectly blends action and suspense.']","['Abyss, The (1989)', 'Terminator, The (1984)']"
MF,Pop,252, Thriller/Horror Enthusiast|  Action/Adventure Fan,가끔봄,균형형,균형형,3,"['Beetlejuice (1988)', ""Bug's Life, A (1998)"", 'Shakespeare in Love (1998)', 'Austin Powers: The Spy Who Shagged Me (1999)']",[],[],[],"[""Bug's Life, A (1998)"", 'Shakespeare in Love (1998)']"
MF,Pop,253, Sci-Fi and Fantasy Enthusiast|  Comedy Lover,자주봄,균형형,균형형,1,"['Toy Story (1995)', 'Powder (1995)', 'Clerks (1994)', 'Star Wars: Episode IV - A New Hope (1977)']","['Powder', 'Star Wars: Episode IV - A New Hope']","[4, 5]","['I found it thought-provoking and emotionally resonant.  ', 'It was an exhilarating experience that reignited my love for sci-fi adventures.  ']","['Clerks (1994)', 'Star Wars: Episode IV - A New Hope (1977)']"
MF,Pop,253, Sci-Fi and Fantasy Enthusiast|  Comedy Lover,자주봄,균형형,균형형,2,"['Jurassic Park (1993)', 'Die Hard (1988)', 'Raiders of the Lost Ark (1981)', 'Alien (1979)']","['Jurassic Park', 'Die Hard', 'Raiders of the Lost Ark', 'Alien']","[5, 4, 5, 4]","['I was thrilled by the intense action and stunning visuals.', 'The suspense kept me on the edge of my seat throughout the film.', 'The adventure and storytelling captivated me completely.', 'The psychological tension and sci-fi elements created a gripping experience.']",['Jurassic Park (1993)']
MF,Pop,253, Sci-Fi and Fantasy Enthusiast|  Comedy Lover,자주봄,균형형,균형형,3,"['Back to the Future (1985)', 'Men in Black (1997)', 'Saving Private Ryan (1998)', 'Shakespeare in Love (1998)']","['Back to the Future', 'Men in Black']","[5, 4]","['I thoroughly enjoyed the time travel concept and humor.  ', 'It was entertaining with a good mix of action and comedy, though not as strong as I expected.  ']","['Men in Black (1997)', 'Shakespeare in Love (1998)']"
MF,Pop,254, I enjoy a mix of science fiction and fantasy movies.|  I appreciate thought-provoking and dramatic films.,가끔봄,균형형,탐험형,1,"['Kingpin (1996)', 'Abyss, The (1989)', ""Romy and Michele's High School Reunion (1997)"", ""Bug's Life, A (1998)""]","['Abyss, The', ""Bug's Life, A""]","[4, 4]","['The suspense and psychological depth kept me on the edge of my seat.  ', 'The adventure was delightful and engaging, with a charming story that resonated well with me.']",['Kingpin (1996)']
MF,Pop,255, I have a preference for drama and character-driven films.|  I also enjoy sci-fi and fantasy movies.,자주봄,균형형,탐험형,1,"['Clueless (1995)', 'Apollo 13 (1995)', 'Pulp Fiction (1994)', 'Silence of the Lambs, The (1991)']","['Apollo 13', 'Pulp Fiction', 'Silence of the Lambs']","[5, 4, 5]","['I found it incredibly inspiring and well-crafted.  ', 'I appreciated its unique storytelling and character depth.  ', 'It was gripping and hauntingly brilliant.  ']","['Pulp Fiction (1994)', 'Silence of the Lambs, The (1991)']"
MF,Pop,255, I have a preference for drama and character-driven films.|  I also enjoy sci-fi and fantasy movies.,자주봄,균형형,탐험형,2,"['Fargo (1996)', 'Die Hard (1988)', 'Princess Bride, The (1987)', 'Raiders of the Lost Ark (1981)']","['Die Hard', 'Princess Bride', 'Raiders of the Lost Ark']","[4, 5, 5]","['It was an exhilarating ride filled with humor and action that kept me engaged.', 'A delightful blend of adventure and romance that left me enchanted.', 'An epic adventure that was thrilling and captivating from start to finish.']","['Fargo (1996)', 'Princess Bride, The (1987)']"
MF,Pop,255, I have a preference for drama and character-driven films.|  I also enjoy sci-fi and fantasy movies.,자주봄,균형형,탐험형,3,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'GoodFellas (1990)', 'Back to the Future (1985)', 'When Harry Met Sally... (1989)']","['Star Wars: Episode VI - Return of the Jedi', 'GoodFellas']","[5, 4]","['The epic conclusion to the saga left me exhilarated and satisfied.  ', 'The gripping portrayal of mob life was intense and engaging, though slightly darker than I usually prefer.  ']","['GoodFellas (1990)', 'Back to the Future (1985)', 'When Harry Met Sally... (1989)']"
MF,Pop,255, I have a preference for drama and character-driven films.|  I also enjoy sci-fi and fantasy movies.,자주봄,균형형,탐험형,4,"['L.A. Confidential (1997)', 'Good Will Hunting (1997)', 'Breakfast Club, The (1985)', 'Pleasantville (1998)']","['L.A. Confidential', 'Good Will Hunting']","[5, 4]","['I was captivated by the intricate plot and character development.  ', 'The emotional depth and inspiring story resonated with me.  ']","['L.A. Confidential (1997)', 'Good Will Hunting (1997)']"
MF,Pop,256, Family-friendly|  Quirky Comedy,가끔봄,독립형,취향형,1,"['Toy Story (1995)', 'Star Wars: Episode IV - A New Hope (1977)', 'Shawshank Redemption, The (1994)', 'Aladdin (1992)']","['Toy Story (1995)', 'Aladdin (1992)']","[5, 4]","['I felt a deep sense of nostalgia and joy throughout the entire film.  ', ""I enjoyed the whimsical adventure and the charming characters, though it didn't quite reach the same emotional depth as Toy Story.""]",[]
MF,Pop,257, Classic Hollywood|  Action and Thriller,가끔봄,균형형,탐험형,1,"['Braveheart (1995)', 'Star Wars: Episode IV - A New Hope (1977)', 'Forrest Gump (1994)', 'Terminator 2: Judgment Day (1991)']","['Braveheart', 'Star Wars: Episode IV - A New Hope', 'Forrest Gump', 'Terminator 2: Judgment Day']","[5, 5, 4, 5]","['I was deeply moved by the story and the portrayal of courage.', 'The adventure and iconic characters left me exhilarated and inspired.', 'The blend of humor and poignant moments resonated with me, making it a memorable experience.', 'The action and emotional depth of the characters captivated me throughout.']","['Braveheart (1995)', 'Star Wars: Episode IV - A New Hope (1977)']"
MF,Pop,257, Classic Hollywood|  Action and Thriller,가끔봄,균형형,탐험형,2,"['Silence of the Lambs, The (1991)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'When Harry Met Sally... (1989)', 'Austin Powers: International Man of Mystery (1997)']",['Star Wars: Episode VI - Return of the Jedi'],[5],"['I thoroughly enjoyed the epic conclusion to the saga, filled with thrilling moments and memorable characters.']",['Star Wars: Episode VI - Return of the Jedi (1983)']
MF,Pop,258, I enjoy a mix of drama and romance films.|  I appreciate thought-provoking and critically acclaimed movies.,가끔봄,균형형,균형형,1,"['Toy Story (1995)', 'American President, The (1995)', 'Sense and Sensibility (1995)', 'Babe (1995)']","['Toy Story', 'Sense and Sensibility', 'Babe']","[5, 4, 4]","['A delightful adventure that brought back nostalgic joy.  ', 'A beautifully crafted story of love and resilience that resonated deeply.  ', 'A charming tale that warmed my heart and made me smile.  ']",['Sense and Sensibility (1995)']
MF,Pop,259, Adventure and Sci-Fi enthusiast|  Comedy and Animation lover,가끔봄,균형형,취향형,1,"['Twelve Monkeys (1995)', 'Babe (1995)', 'Clerks (1994)', 'Star Wars: Episode IV - A New Hope (1977)']","['Twelve Monkeys', 'Star Wars: Episode IV - A New Hope']","[4, 5]","['The intricate plot and thought-provoking themes left me deeply engaged.', 'The epic adventure and classic storytelling made it an unforgettable experience.']",[]
MF,Pop,260, Classic Animation Lover|  Comedy Enthusiast,가끔봄,독립형,탐험형,1,"['Jumanji (1995)', 'Babe (1995)', 'Shawshank Redemption, The (1994)', 'Home Alone (1990)']","['Babe', 'Home Alone']","[4, 5]","['I found it heartwarming and delightful, capturing the essence of friendship beautifully.  ', 'It was hilariously entertaining and brought back fond memories of childhood.  ']",[]
MF,Pop,261, I have a preference for a mix of drama and romance movies.|  I also appreciate a blend of science fiction and action films.,자주봄,동조형,균형형,1,"['Toy Story (1995)', 'Shawshank Redemption, The (1994)', 'Forrest Gump (1994)', ""Schindler's List (1993)""]","['Shawshank Redemption, The (1994)', 'Forrest Gump (1994)', ""Schindler's List (1993)""]","[5, 4, 5]","['This film left me inspired and deeply moved by the power of hope and friendship.', 'I enjoyed the blend of humor and heart, though some parts felt a bit stretched.', 'This film was profoundly impactful and haunting, showcasing the strength of humanity in the darkest times.']",[]
MF,Pop,261, I have a preference for a mix of drama and romance movies.|  I also appreciate a blend of science fiction and action films.,자주봄,동조형,균형형,2,"['Silence of the Lambs, The (1991)', 'Fargo (1996)', 'Godfather, The (1972)', 'E.T. the Extra-Terrestrial (1982)']","['Silence of the Lambs, The (1991)', 'Fargo (1996)', 'Godfather, The (1972)']","[5, 4, 5]","['The intense psychological elements kept me on the edge of my seat.', 'The dark humor and suspenseful plot made for an engaging watch.', 'The intricate storytelling and character depth left a lasting impression on me.']","['Silence of the Lambs, The (1991)', 'Fargo (1996)', 'E.T. the Extra-Terrestrial (1982)']"
MF,Pop,261, I have a preference for a mix of drama and romance movies.|  I also appreciate a blend of science fiction and action films.,자주봄,동조형,균형형,3,"[""One Flew Over the Cuckoo's Nest (1975)"", 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Groundhog Day (1993)', 'Men in Black (1997)']","[""One Flew Over the Cuckoo's Nest (1975)"", 'Groundhog Day (1993)']","[5, 4]","['It profoundly resonated with me, showcasing the struggle for freedom and individuality.', 'I found it charming and insightful, with a unique take on life and love.']",['Men in Black (1997)']
MF,Pop,261, I have a preference for a mix of drama and romance movies.|  I also appreciate a blend of science fiction and action films.,자주봄,동조형,균형형,4,"['L.A. Confidential (1997)', 'Saving Private Ryan (1998)', 'Rushmore (1998)', 'Matrix, The (1999)']","['L.A. Confidential (1997)', 'Saving Private Ryan (1998)', 'Matrix, The (1999)']","[5, 5, 4]","['I was captivated by the intricate plot and character dynamics.  ', 'The emotional depth and realism left a profound impact on me.  ', 'The mind-bending concepts were intriguing, though slightly complex to fully grasp.']","['Rushmore (1998)', 'Matrix, The (1999)']"
MF,Pop,262," I have a preference for a mix of genres including comedy, drama, action, and science fiction.|  I appreciate movies with a strong narrative and memorable characters.",많이봄,균형형,균형형,1,"['Star Wars: Episode IV - A New Hope (1977)', 'Shawshank Redemption, The (1994)', 'Batman (1989)', 'Godfather, The (1972)']","['Star Wars: Episode IV - A New Hope', 'Shawshank Redemption, The', 'Godfather, The']","[5, 5, 4]","['An exhilarating journey through a galaxy far, far away that left me inspired.  ', 'A profound exploration of hope and friendship that resonated deeply with me.  ', 'A gripping tale of power and loyalty that captivated my attention throughout.  ']",[]
MF,Pop,262," I have a preference for a mix of genres including comedy, drama, action, and science fiction.|  I appreciate movies with a strong narrative and memorable characters.",많이봄,균형형,균형형,2,"['Casablanca (1942)', 'Fish Called Wanda, A (1988)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Raiders of the Lost Ark (1981)']","['Fish Called Wanda, A (1988)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Raiders of the Lost Ark (1981)']","[4, 5, 5]","['I found it hilarious and thoroughly enjoyable.', 'It was an epic continuation of the saga that left me thrilled.', 'An exhilarating adventure that captivated me from start to finish.']","['Fish Called Wanda, A (1988)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']"
MF,Pop,262," I have a preference for a mix of genres including comedy, drama, action, and science fiction.|  I appreciate movies with a strong narrative and memorable characters.",많이봄,균형형,균형형,3,"['Alien (1979)', 'Godfather: Part II, The (1974)', 'Full Metal Jacket (1987)', 'Stand by Me (1986)']","['Alien (1979)', 'Stand by Me (1986)']","[5, 4]","['The suspense and atmosphere captivated me throughout the film.', 'The emotional depth and nostalgia resonated with me, making it a memorable watch.']",['Stand by Me (1986)']
MF,Pop,262," I have a preference for a mix of genres including comedy, drama, action, and science fiction.|  I appreciate movies with a strong narrative and memorable characters.",많이봄,균형형,균형형,4,"['Back to the Future (1985)', 'Indiana Jones and the Last Crusade (1989)', 'Butch Cassidy and the Sundance Kid (1969)', 'Breakfast Club, The (1985)']","['Back to the Future (1985)', 'Indiana Jones and the Last Crusade (1989)', 'Breakfast Club, The (1985)']","[5, 5, 4]","['Absolutely loved the time travel concept and humor!  ', 'Thrilling adventure with great historical elements!  ', 'Enjoyed the character dynamics and self-discovery themes!  ']","['Back to the Future (1985)', 'Breakfast Club, The (1985)']"
MF,Pop,263, I enjoy a mix of classic and contemporary films with a focus on drama and character-driven storytelling.|  I have a fondness for sci-fi and fantasy films that transport me to imaginative worlds and challenge my perception of reality.,자주봄,동조형,탐험형,1,"['Pulp Fiction (1994)', ""Schindler's List (1993)"", 'Silence of the Lambs, The (1991)', 'Fargo (1996)']","['Pulp Fiction', 'Silence of the Lambs', 'Fargo']","[4, 5, 4]","['I found its unique storytelling and humor captivating.  ', 'The psychological tension and character depth left a lasting impression on me.  ', 'Its blend of humor and crime was both entertaining and thought-provoking.  ']",[]
MF,Pop,263, I enjoy a mix of classic and contemporary films with a focus on drama and character-driven storytelling.|  I have a fondness for sci-fi and fantasy films that transport me to imaginative worlds and challenge my perception of reality.,자주봄,동조형,탐험형,2,"['Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)', 'Godfather, The (1972)', 'Reservoir Dogs (1992)', 'E.T. the Extra-Terrestrial (1982)']","['Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Reservoir Dogs', 'E.T. the Extra-Terrestrial']","[4, 4, 5]","['The satire was sharp and engaging, leaving me with much to ponder.', 'The tension and character dynamics kept me on the edge of my seat.', 'The emotional connection and visual storytelling were truly heartwarming.']",['E.T. the Extra-Terrestrial (1982)']
MF,Pop,263, I enjoy a mix of classic and contemporary films with a focus on drama and character-driven storytelling.|  I have a fondness for sci-fi and fantasy films that transport me to imaginative worlds and challenge my perception of reality.,자주봄,동조형,탐험형,3,"['Raiders of the Lost Ark (1981)', 'Aliens (1986)', 'Alien (1979)', 'Full Metal Jacket (1987)']","['Raiders of the Lost Ark', 'Aliens', 'Alien']","[4, 5, 4]","['I found it to be an exhilarating adventure with a captivating storyline.', 'The intense action and suspense kept me on the edge of my seat throughout.', 'It was a thrilling experience that combined horror and sci-fi elements effectively.']","['Raiders of the Lost Ark (1981)', 'Aliens (1986)']"
MF,Pop,263, I enjoy a mix of classic and contemporary films with a focus on drama and character-driven storytelling.|  I have a fondness for sci-fi and fantasy films that transport me to imaginative worlds and challenge my perception of reality.,자주봄,동조형,탐험형,4,"['Godfather: Part II, The (1974)', 'Rocky (1976)', 'Matrix, The (1999)', 'Ghostbusters (1984)']","['Matrix, The', 'Ghostbusters']","[5, 4]","['I was captivated by its innovative storytelling and visual effects.  ', 'I found it hilarious and entertaining, a delightful blend of comedy and supernatural fun.  ']",['Ghostbusters (1984)']
MF,Pop,264, I have a preference for classic comedies and action films.|  I am drawn to sci-fi and fantasy adventures.,가끔봄,독립형,균형형,1,"['Toy Story (1995)', 'Pulp Fiction (1994)', 'Shawshank Redemption, The (1994)', 'Clear and Present Danger (1994)']","['Pulp Fiction (1994)', 'Clear and Present Danger (1994)']","[4, 3]","['I found its unique storytelling and character depth captivating.', 'It was engaging, but I expected a bit more action and excitement.']","['Toy Story (1995)', 'Clear and Present Danger (1994)']"
MF,Pop,265, Sci-fi and Action|  Thriller and Drama,자주봄,독립형,균형형,1,"['Toy Story (1995)', 'Forrest Gump (1994)', 'Terminator 2: Judgment Day (1991)', 'Godfather, The (1972)']","['Terminator 2: Judgment Day', 'Godfather, The']","[5, 5]","['The thrilling action and depth of the story left me captivated.  ', 'The intricate character dynamics and storytelling were profoundly engaging.']",['Terminator 2: Judgment Day (1991)']
MF,Pop,265, Sci-fi and Action|  Thriller and Drama,자주봄,독립형,균형형,2,"['Die Hard (1988)', 'Raiders of the Lost Ark (1981)', 'Aliens (1986)', 'Army of Darkness (1993)']","['Die Hard (1988)', 'Raiders of the Lost Ark (1981)', 'Aliens (1986)']","[5, 5, 4]","['An exhilarating ride that kept me on the edge of my seat!  ', 'A classic adventure that perfectly blends excitement and storytelling!  ', 'A thrilling sci-fi experience with intense action and great character dynamics!  ']","['Aliens (1986)', 'Army of Darkness (1993)']"
MF,Pop,265, Sci-fi and Action|  Thriller and Drama,자주봄,독립형,균형형,3,"['Back to the Future (1985)', 'Indiana Jones and the Last Crusade (1989)', 'Mars Attacks! (1996)', 'Fifth Element, The (1997)']","['Back to the Future (1985)', 'Indiana Jones and the Last Crusade (1989)', 'Fifth Element, The (1997)']","[4, 5, 4]","['I found it to be a clever and entertaining time-travel adventure.', 'It was an exhilarating journey filled with excitement and strong character dynamics.', 'I enjoyed the unique blend of humor and action in a vibrant sci-fi setting.']","['Back to the Future (1985)', 'Mars Attacks! (1996)', 'Fifth Element, The (1997)']"
MF,Pop,265, Sci-fi and Action|  Thriller and Drama,자주봄,독립형,균형형,4,"['Men in Black (1997)', 'Gattaca (1997)', 'Lethal Weapon (1987)', 'Shakespeare in Love (1998)']",['Gattaca (1997)'],[5],['I found it to be an incredibly immersive experience that challenged my perceptions of identity and ambition.'],"['Men in Black (1997)', 'Shakespeare in Love (1998)']"
